Feature ID	kingdom	phylum	class	order	family	genus	species
d81b01f9a1882a6c9babc30387ff5e06	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
1b89d83ff6c4eaec4a94116eabd58dfc	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
64898936cbf9699c77159517e3f7e68a	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
457abbd71bcf660a90ec171eb86bd68c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	
f2a8296e10747ac16ba3d350a8563302	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	
e121ef491ff026015fdda710f96b9e48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
1d2527874e26d416de0875aca391dfc1	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
6f75a56f179607cd6df96b096f960e53	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	
86131df84daa83f5bf81909048093669	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
d60410744f090c4cbf4f7f07cd10ce50	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
865386b1de56b7268359628d526f6dc5	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
bfff68f2f3177648a881a8985b474812	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	
b477390f786aac1e1cf3b108bbd169ff	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	
f7d16a94da5cb12e144a586f130393e5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
e2d81e9417eb93ab2ef085a5d7878b60	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae		
a1789ed5cbf8c3ab344e310bd9926bcf	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	
d016d7f5407a2d2b2b3f2e3f6409320b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	
62bae705b9c0f4a8eef504495dfb4b10	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1c8d5e8a754d80963af7c2ca3f7cff32	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	
ce1275e68321d2be0f62fbec7619846a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	
f05498ae83afd2c6fd8e29745783ac85	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	CCD24	CCD24	
80a2a8811ad9b4cc75fae8534c4a2e15	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	uncultured_bacterium
4b13d51a11669881f4c86a4350653159	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0347c90d02cdd3b46217a52c13dda6fb	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	metagenome
c3e509d6979c52fc30fb30542d62cd07	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	
bb90e95041a2226dab676a6dfa60aa44	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	
5aeb4e94830a728f89308e00b8f3ac2a	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	
14e6956e0d6ce825142b5c7b63a3bb79	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
beb8e865c88300642afa92e6af05717b	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	
e44268080b7400a17642e39df641727b	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
c63f6ac78ffdfe799863d402d69f28be	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	
4f39a25ce9ca06f93e72c558d9e10595	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
b82084fd6c0476f78f89cb62123f68b1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	
42e296cf8c510c8542277a2cd5ec2931	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
a8d0d8f05831d87683d5f6d78cfa2d38	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	
5f319b9bbb58432d2713a00131b5691b	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
4f774e0f0d0b88d7dc22220f682cbaa8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	unidentified
081aa25e0e71c69ebf268d516c3dd7f9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	
3be5ccf0f025617d98ecbfd2d888b945	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	
3e5772d388ebfd3b70b4ef76b0d3d763	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
5c5de567ad4343f6208386c3c591fbfa	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	
7f6229ad23cefb4ea19dff74a76e3a6d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae		
31f4fb5452ab2cdc7de732e3dc68423f	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	TRA3-20	uncultured_Rhodocyclaceae
b321d5a3fcc834facb6b5d81cdc7f73f	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
11fac9cfdd770ee4e66447e1accf5b7e	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
3fa5707bb0c63f3c575d5ccfeb52a2c4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
