#OTU ID	C001.extendedFrags.fastq.gz	C002.extendedFrags.fastq.gz	C003.extendedFrags.fastq.gz	C004.extendedFrags.fastq.gz	C005.extendedFrags.fastq.gz	C006.extendedFrags.fastq.gz	C007.extendedFrags.fastq.gz	C008.extendedFrags.fastq.gz
d81b01f9a1882a6c9babc30387ff5e06	58	84	61	101	71	63	80	67
1b89d83ff6c4eaec4a94116eabd58dfc	71	83	81	75	32	54	67	32
64898936cbf9699c77159517e3f7e68a	68	51	57	46	80	64	51	56
457abbd71bcf660a90ec171eb86bd68c	49	45	60	51	60	47	52	46
f2a8296e10747ac16ba3d350a8563302	35	62	60	61	37	39	51	35
e121ef491ff026015fdda710f96b9e48	40	49	97	30	39	20	52	49
1d2527874e26d416de0875aca391dfc1	53	41	35	45	39	42	44	49
6f75a56f179607cd6df96b096f960e53	36	63	51	33	39	53	44	28
86131df84daa83f5bf81909048093669	26	0	82	20	91	45	56	19
d60410744f090c4cbf4f7f07cd10ce50	42	29	35	45	50	58	34	30
865386b1de56b7268359628d526f6dc5	58	40	50	38	47	33	57	0
bfff68f2f3177648a881a8985b474812	36	44	36	38	52	43	31	32
b477390f786aac1e1cf3b108bbd169ff	31	37	44	47	28	48	26	47
f7d16a94da5cb12e144a586f130393e5	36	39	47	35	48	45	22	34
e2d81e9417eb93ab2ef085a5d7878b60	27	48	22	73	38	0	59	33
a1789ed5cbf8c3ab344e310bd9926bcf	44	51	28	40	24	28	38	44
d016d7f5407a2d2b2b3f2e3f6409320b	36	38	36	32	38	47	34	35
62bae705b9c0f4a8eef504495dfb4b10	29	46	39	0	24	43	52	54
1c8d5e8a754d80963af7c2ca3f7cff32	24	42	45	57	34	26	32	22
ce1275e68321d2be0f62fbec7619846a	36	34	38	36	27	33	51	25
f05498ae83afd2c6fd8e29745783ac85	38	33	33	32	41	48	34	15
80a2a8811ad9b4cc75fae8534c4a2e15	24	30	43	31	39	40	30	36
4b13d51a11669881f4c86a4350653159	36	34	41	25	21	0	50	61
0347c90d02cdd3b46217a52c13dda6fb	34	48	20	27	46	41	10	34
c3e509d6979c52fc30fb30542d62cd07	22	21	33	10	29	17	63	61
bb90e95041a2226dab676a6dfa60aa44	11	44	27	38	41	48	36	11
5aeb4e94830a728f89308e00b8f3ac2a	33	34	29	30	31	24	41	32
14e6956e0d6ce825142b5c7b63a3bb79	0	33	34	43	45	40	31	25
beb8e865c88300642afa92e6af05717b	19	0	38	38	38	33	52	30
e44268080b7400a17642e39df641727b	11	42	67	49	43	0	35	0
c63f6ac78ffdfe799863d402d69f28be	41	35	19	23	43	33	28	23
4f39a25ce9ca06f93e72c558d9e10595	18	21	24	35	35	22	39	49
b82084fd6c0476f78f89cb62123f68b1	23	38	29	43	32	14	23	37
42e296cf8c510c8542277a2cd5ec2931	29	24	33	33	36	37	20	25
a8d0d8f05831d87683d5f6d78cfa2d38	21	29	26	24	41	26	35	34
5f319b9bbb58432d2713a00131b5691b	29	21	21	24	30	31	36	39
4f774e0f0d0b88d7dc22220f682cbaa8	24	32	25	33	37	33	28	18
081aa25e0e71c69ebf268d516c3dd7f9	0	37	44	32	0	42	41	34
3be5ccf0f025617d98ecbfd2d888b945	22	27	26	25	29	22	35	42
3e5772d388ebfd3b70b4ef76b0d3d763	50	29	37	22	30	29	27	0
5c5de567ad4343f6208386c3c591fbfa	36	34	30	30	27	30	13	23
7f6229ad23cefb4ea19dff74a76e3a6d	26	31	16	25	29	28	28	39
31f4fb5452ab2cdc7de732e3dc68423f	22	21	28	29	35	25	27	29
b321d5a3fcc834facb6b5d81cdc7f73f	20	26	30	26	18	26	28	42
11fac9cfdd770ee4e66447e1accf5b7e	15	32	26	44	43	31	12	13
3fa5707bb0c63f3c575d5ccfeb52a2c4	48	37	0	19	37	0	34	38
000f7b039dfd7d855cf11b71c3d2dad8	24	29	25	30	34	27	14	28
562589dfde57a31e04a2ca37660225cc	12	31	36	27	14	30	29	32
127824830507fe19ac0fe3193992c1c0	36	39	36	24	25	28	0	20
8363b12e3255d51ae541edb851d7625a	43	35	22	27	40	19	16	5
fda1610645c1201ad05467a002189234	26	21	32	23	28	26	20	23
792b414ff1cd0b8066919e43bb4b30ef	21	37	31	25	24	0	30	23
6d2483c3d66cc6a6d89a1c3f2772461f	18	25	44	66	3	0	11	20
2b231d8cb2e2746cec9eaafab41021da	31	0	0	10	42	28	28	43
96f09e1a1923758ab6906eacd9a2e940	32	25	24	20	0	22	23	28
ae89e4f31367e6282286c97409057b1e	22	18	21	30	25	28	14	14
ce41590ac3fe3f7989ca92ef2f9099c7	0	30	19	27	18	23	26	29
867c4de6b660c5caaf778662de6b1640	27	25	0	31	34	28	13	12
9d56b1e6c991b0f7c4a363be09078761	16	39	28	26	17	13	13	17
1b488697e27a93e8e574d686e1ee0180	26	27	21	20	22	21	14	18
b867cc010e739fc63e0711c9df8d4feb	21	20	24	22	25	22	8	25
98d00b0f3a665e8760205be7935da775	37	33	21	7	20	35	7	7
025f723af162a5344ece3f83257a5510	36	20	18	0	12	17	15	48
c00f4ca86bfdf38e4c7b06cd63ffb9ab	20	28	29	13	19	22	16	17
a0b33f41e9960a47277a40916052300a	0	23	22	30	30	31	12	15
cbc1fe54f5b15de899912ef30585584b	15	20	20	17	16	25	26	22
9681aadf28877d13381ed899be07cd82	18	27	16	29	26	13	18	13
